parmy@fedora:~$ readelf -Ws libc-2.23.so

Symbol table '.dynsym' contains 2415 entries:
   Num:    Value  Size Type    Bind   Vis      Ndx Name
     0: 00000000     0 NOTYPE  LOCAL  DEFAULT  UND
     1: 00000000     0 OBJECT  GLOBAL DEFAULT  UND __libc_stack_end@GLIBC_2.1 (36)
     2: 00000000     0 OBJECT  GLOBAL DEFAULT  UND _rtld_global@GLIBC_PRIVATE (37)
     3: 00000000     0 OBJECT  GLOBAL DEFAULT  UND __libc_enable_secure@GLIBC_PRIVATE (37)
     4: 00000000     0 NOTYPE  WEAK   DEFAULT  UND _IO_stdin_used
     5: 00000000     0 OBJECT  GLOBAL DEFAULT  UND _rtld_global_ro@GLIBC_PRIVATE (37)
     6: 00000000     0 FUNC    GLOBAL DEFAULT  UND _dl_find_dso_for_object@GLIBC_PRIVATE (37)
     7: 00000000     0 NOTYPE  WEAK   DEFAULT  UND _dl_starting_up
     8: 00000000     0 FUNC    GLOBAL DEFAULT  UND ___tls_get_addr@GLIBC_2.3 (38)
     9: 00000000     0 OBJECT  GLOBAL DEFAULT  UND _dl_argv@GLIBC_PRIVATE (37)
    10: 00060c30   299 FUNC    GLOBAL DEFAULT   13 putwchar@@GLIBC_2.2
    11: 0007d0f0    37 FUNC    GLOBAL DEFAULT   13 __strspn_c1@@GLIBC_2.1.1
    12: 000f5080    48 FUNC    GLOBAL DEFAULT   13 __gethostname_chk@@GLIBC_2.4
    13: 0007d120    54 FUNC    GLOBAL DEFAULT   13 __strspn_c2@@GLIBC_2.1.1
    14: 0010af50   154 FUNC    GLOBAL DEFAULT   13 setrpcent@@GLIBC_2.0
    15: 00095b30    39 FUNC    GLOBAL DEFAULT   13 __wcstod_l@@GLIBC_2.1
    16: 0007d160    84 FUNC    GLOBAL DEFAULT   13 __strspn_c3@@GLIBC_2.1.1
    17: 000e5c40    32 FUNC    GLOBAL DEFAULT   13 epoll_create@@GLIBC_2.3.2
    18: 000ca910    32 FUNC    WEAK   DEFAULT   13 sched_get_priority_min@@GLIBC_2.0
    19: 000f50b0    38 FUNC    GLOBAL DEFAULT   13 __getdomainname_chk@@GLIBC_2.4
    20: 000e5e30    38 FUNC    GLOBAL DEFAULT   13 klogctl@@GLIBC_2.0
    21: 000251b0    15 FUNC    GLOBAL DEFAULT   13 __tolower_l@@GLIBC_2.1
    22: 000490e0    41 FUNC    GLOBAL DEFAULT   13 dprintf@@GLIBC_2.0
    23: 000b0140   119 FUNC    WEAK   DEFAULT   13 setuid@@GLIBC_2.0
    24: 0009b640  3008 FUNC    GLOBAL DEFAULT   13 __wcscoll_l@@GLIBC_2.1
    25: 000e8870   152 FUNC    WEAK   DEFAULT   13 iswalpha@@GLIBC_2.0
    26: 000dd080    36 FUNC    WEAK   DEFAULT   13 __getrlimit@@GLIBC_PRIVATE
    27: 000fbee0    26 FUNC    GLOBAL DEFAULT   13 __internal_endnetgrent@@GLIBC_PRIVATE
    28: 000de0a0    32 FUNC    GLOBAL DEFAULT   13 chroot@@GLIBC_2.0
    29: 000a0680   209 IFUNC   GLOBAL DEFAULT   13 __gettimeofday@@GLIBC_2.0
    30: 00067700    70 FUNC    GLOBAL DEFAULT   13 _IO_file_setbuf@@GLIBC_2.1
    31: 001b1b04     4 OBJECT  WEAK   DEFAULT   33 daylight@@GLIBC_2.0
    32: 0011e3e0    70 FUNC    GLOBAL DEFAULT   13 _IO_file_setbuf@GLIBC_2.0
    33: 000a34a0    66 FUNC    GLOBAL DEFAULT   13 getdate@@GLIBC_2.1
    34: 000f4820   239 FUNC    GLOBAL DEFAULT   13 __vswprintf_chk@@GLIBC_2.4
    35: 0011ed40   305 FUNC    GLOBAL DEFAULT   13 _IO_file_fopen@GLIBC_2.0
    36: 000f19f0    61 FUNC    GLOBAL DEFAULT   13 pthread_cond_signal@@GLIBC_2.3.2
    37: 00121e60    61 FUNC    GLOBAL DEFAULT   13 pthread_cond_signal@GLIBC_2.0
    38: 00068f50  1286 FUNC    GLOBAL DEFAULT   13 _IO_file_fopen@@GLIBC_2.1
    39: 00031510    30 FUNC    WEAK   DEFAULT   13 strtoull_l@@GLIBC_2.3
    40: 001128b0   113 FUNC    GLOBAL DEFAULT   13 xdr_short@@GLIBC_2.0
    41: 000e2cc0    90 FUNC    GLOBAL DEFAULT   13 lfind@@GLIBC_2.0
    42: 0005ea40   219 FUNC    GLOBAL DEFAULT   13 _IO_padn@@GLIBC_2.0
    43: 00077650  1266 FUNC    WEAK   DEFAULT   13 strcasestr@@GLIBC_2.1
    44: 000af280   921 FUNC    GLOBAL DEFAULT   13 __libc_fork@@GLIBC_PRIVATE
    45: 00112e00   189 FUNC    GLOBAL DEFAULT   13 xdr_int64_t@@GLIBC_2.1.1
    46: 00095b30    39 FUNC    WEAK   DEFAULT   13 wcstod_l@@GLIBC_2.3
    47: 000e6a50    74 FUNC    WEAK   DEFAULT   13 socket@@GLIBC_2.0
    48: 0010f910   192 FUNC    GLOBAL DEFAULT   13 key_encryptsession_pk@@GLIBC_2.1
    49: 000787e0   187 FUNC    WEAK   DEFAULT   13 argz_create@@GLIBC_2.0
    50: 00060ee0    77 FUNC    GLOBAL DEFAULT   13 putchar_unlocked@@GLIBC_2.0
    51: 0007cca0    52 FUNC    GLOBAL DEFAULT   13 __strpbrk_g@@GLIBC_2.1.1
    52: 00106cf0   197 FUNC    GLOBAL DEFAULT   13 xdr_pmaplist@@GLIBC_2.0
    53: 000f3050    69 FUNC    GLOBAL DEFAULT   13 __stpcpy_chk@@GLIBC_2.3.4
